episode,total_reward,average_q,safe_rate_100,attempted,executed,steps,epsilon,training_loss
1,-147.0614162596,0.2392784357,0.0000000000,50,40,70,0.9993070000,nan
2,-359.3781262676,0.2392784357,0.0000000000,67,61,93,0.9983863000,nan
3,-158.8912212896,0.2392784357,0.0000000000,102,86,122,0.9971785000,nan
4,-141.9774998992,0.2392784357,0.0000000000,67,58,85,0.9963370000,nan
5,-173.7478207023,0.2392784357,0.0000000000,84,72,117,0.9951787000,nan
6,-329.7679992601,0.2392784357,0.0000000000,78,67,104,0.9941491000,nan
7,-327.3271115926,0.2392784357,0.0000000000,57,47,79,0.9933670000,nan
8,-179.7740338844,0.2392784357,0.0000000000,58,47,70,0.9926740000,nan
9,-351.4077837618,0.2392784357,0.0000000000,79,63,108,0.9916048000,nan
10,-298.7833631074,0.2392784357,0.0000000000,90,80,118,0.9904366000,nan
11,-78.4674416538,-0.3654841185,0.0000000000,51,43,68,0.9897634000,2.386483
12,-159.1240213578,-0.7254874706,0.0000000000,58,45,78,0.9889912000,2.190137
13,-116.7944378967,-0.7048527002,0.0000000000,74,67,96,0.9880408000,2.108651
14,-90.1399685802,-0.4298898578,0.0000000000,63,49,84,0.9872092000,1.892458
15,-168.2185149140,-0.0419519320,0.0000000000,80,66,115,0.9860707000,1.636603
16,-243.6155713386,-0.0782937929,0.0000000000,54,41,74,0.9853381000,1.637466
17,-280.6551980255,-0.1596620381,0.0000000000,77,61,99,0.9843580000,1.787955
18,-175.9046949961,-0.0192224048,0.0000000000,76,66,92,0.9834472000,1.366507
19,-160.7055833117,-0.0976128578,0.0000000000,69,62,93,0.9825265000,1.552153
20,-33.6771265769,-0.1384602636,0.0500000000,51,44,68,0.9818533000,1.523708
21,-159.2654652996,-0.1799604297,0.0476190476,48,33,64,0.9812197000,1.428822
22,-153.4541392435,0.1844513416,0.0454545455,68,55,87,0.9803584000,1.356763
23,-175.7620925753,-0.3002555072,0.0434782609,54,49,68,0.9796852000,1.635212
24,-132.4251084081,0.0040227063,0.0416666667,54,46,75,0.9789427000,1.258110
25,-120.5300342277,0.2043148428,0.0400000000,63,58,78,0.9781705000,1.202664
26,-93.9398070461,0.1097403765,0.0384615385,49,38,65,0.9775270000,1.224705
27,-295.6657789718,0.1798075438,0.0370370370,62,50,76,0.9767746000,1.157043
28,-355.2863891547,0.1279230565,0.0357142857,81,71,105,0.9757351000,1.289707
29,-108.3402833752,0.5983790755,0.0344827586,48,41,63,0.9751114000,2.039138
30,-192.0538105334,0.2944797575,0.0333333333,49,43,74,0.9743788000,1.637235
31,-336.5016615872,0.8429930210,0.0322580645,104,96,137,0.9730225000,1.282972
32,-135.9326060648,0.5688461065,0.0312500000,69,64,89,0.9721414000,1.419130
33,-144.8355614241,0.7088938951,0.0303030303,99,88,126,0.9708940000,1.328042
34,-188.4600967093,0.3478850126,0.0294117647,88,76,114,0.9697654000,1.622996
35,-33.1395915045,0.2468148768,0.0285714286,74,62,104,0.9687358000,1.409984
36,-79.3716414053,0.4226035476,0.0277777778,108,101,143,0.9673201000,1.437567
37,-118.3158541087,0.6278566122,0.0270270270,56,43,72,0.9666073000,1.540107
38,-180.2664647331,0.4231508076,0.0263157895,47,34,58,0.9660331000,1.679823
39,-111.1389767101,1.1705515385,0.0256410256,60,55,76,0.9652807000,1.555382
40,-171.9435428870,0.8334689736,0.0250000000,93,74,112,0.9641719000,1.663554
41,-122.4222444871,0.9592140913,0.0243902439,88,76,119,0.9629938000,1.392620
42,-135.0809801086,0.9759179354,0.0238095238,64,56,81,0.9621919000,1.438564
43,-122.9936212865,0.7102819085,0.0232558140,74,63,102,0.9611821000,1.748344
44,-188.7306593029,0.6726781130,0.0227272727,79,72,108,0.9601129000,1.445632
45,-19.3834199308,0.9691581726,0.0444444444,56,49,72,0.9594001000,1.604415
46,-150.8932491157,1.0002117157,0.0434782609,74,62,94,0.9584695000,1.471473
47,-139.1307954886,0.5506426692,0.0425531915,72,65,94,0.9575389000,1.416374
48,-477.2382230688,0.9433544874,0.0416666667,83,67,104,0.9565093000,1.389513
49,-244.7418475508,0.8322114944,0.0408163265,105,87,126,0.9552619000,1.377756
50,-116.2331509534,1.2273395061,0.0400000000,50,44,66,0.9546085000,1.647607
51,-149.4993036819,1.3062281609,0.0392156863,64,57,88,0.9537373000,1.351277
52,-370.7794027407,1.6257280111,0.0384615385,99,84,122,0.9525295000,1.480450
53,-194.4659492041,1.4217312336,0.0377358491,79,66,107,0.9514702000,1.238991
54,-128.0521195487,1.2961825132,0.0370370370,41,33,56,0.9509158000,1.682211
55,-113.2652991834,1.0193904638,0.0363636364,56,50,79,0.9501337000,1.474609
56,-137.8334265282,1.4683774710,0.0357142857,77,74,98,0.9491635000,1.430941
57,-68.9080585513,1.4775294065,0.0350877193,51,42,66,0.9485101000,1.502843
58,-136.6063757743,1.6736152172,0.0344827586,80,67,109,0.9474310000,1.694837
59,-156.1902192226,1.3408961296,0.0338983051,46,38,62,0.9468172000,1.552294
60,-164.8936235648,1.4024277925,0.0333333333,69,60,96,0.9458668000,1.267330
61,-118.9562821920,1.3952710629,0.0327868852,54,42,69,0.9451837000,1.568290
62,-141.9745406985,1.6363689899,0.0322580645,46,38,67,0.9445204000,1.489827
63,-292.1044340075,1.3612623215,0.0317460317,81,70,112,0.9434116000,1.364502
64,-141.4804897150,1.5659993887,0.0312500000,90,82,121,0.9422137000,1.401506
65,-149.2162399981,1.5356067419,0.0307692308,65,55,90,0.9413227000,1.500160
66,-142.7945047810,2.7281875610,0.0303030303,56,45,77,0.9405604000,1.406897
67,-164.0083959018,2.2568864822,0.0298507463,79,68,105,0.9395209000,1.487290
68,-211.8842771416,2.4814796448,0.0294117647,86,77,109,0.9384418000,1.447779
69,-156.6218129138,2.3290262222,0.0289855072,67,57,90,0.9375508000,1.395930
70,-252.1132143574,2.7714853287,0.0285714286,65,58,94,0.9366202000,1.319399
71,-126.0463698391,2.0733201504,0.0281690141,72,65,98,0.9356500000,1.279171
72,-82.5885675304,2.4714770317,0.0277777778,101,85,127,0.9343927000,1.431185
73,-123.5270526895,2.6907525063,0.0273972603,48,40,70,0.9336997000,1.417930
74,-244.5454102687,2.8232226372,0.0270270270,59,48,75,0.9329572000,1.472802
75,-113.5969856292,2.7715659142,0.0266666667,41,34,63,0.9323335000,1.522064
76,-125.0786452631,2.7319545746,0.0263157895,64,52,83,0.9315118000,1.256072
77,-134.8896038179,2.2309489250,0.0259740260,64,51,79,0.9307297000,1.350415
78,-114.2042125638,3.4097056389,0.0256410256,60,54,83,0.9299080000,1.532914
79,-111.9603962731,3.0649476051,0.0253164557,45,38,69,0.9292249000,1.401979
80,-38.1417594070,3.0381550789,0.0375000000,62,53,75,0.9284824000,1.410024
81,-99.8591367097,3.4177470207,0.0370370370,46,35,64,0.9278488000,1.368483
82,-150.5854946269,3.4382076263,0.0365853659,83,62,103,0.9268291000,1.484184
83,-130.4607025538,3.3017668724,0.0361445783,60,53,78,0.9260569000,1.294035
84,-109.0215614629,4.1125202179,0.0357142857,55,47,70,0.9253639000,1.841997
85,-155.1408947199,3.8508620262,0.0352941176,70,58,95,0.9244234000,1.523407
86,-122.6165273788,3.8442363739,0.0348837209,72,63,89,0.9235423000,1.680310
87,-88.1558951573,4.1116862297,0.0344827586,84,67,98,0.9225721000,1.268978
88,-121.4948308341,4.0557074547,0.0340909091,49,44,62,0.9219583000,1.432478
89,-162.8774576070,3.7715234756,0.0337078652,47,42,60,0.9213643000,1.635413
90,-234.9256522355,5.1656160355,0.0333333333,74,63,89,0.9204832000,1.454705
91,-156.3038393741,4.6056156158,0.0329670330,89,74,111,0.9193843000,1.369547
92,-118.8962778845,4.7471394539,0.0326086957,57,50,75,0.9186418000,1.651048
93,-192.7561092909,4.9771738052,0.0322580645,80,68,101,0.9176419000,1.418183
94,-137.1052320865,4.9473619461,0.0319148936,98,89,125,0.9164044000,1.570037
95,-157.6599954660,5.3639788628,0.0315789474,70,63,96,0.9154540000,1.596823
96,-122.8350800125,4.9869298935,0.0312500000,84,76,121,0.9142561000,1.740050
