episode,total_reward,average_q,safe_rate_100,attempted,executed,steps,epsilon,training_loss
1,-132.7921886470,0.2392784357,0.0000000000,51,51,71,0.9992971000,nan
2,-436.5690938311,0.2392784357,0.0000000000,66,66,93,0.9983764000,nan
3,-112.5790643487,0.2392784357,0.0000000000,104,104,124,0.9971488000,nan
4,-74.4486894426,0.2392784357,0.0000000000,67,67,86,0.9962974000,nan
5,-141.5601234917,0.2392784357,0.0000000000,104,104,139,0.9949213000,nan
6,-168.3720597169,0.2392784357,0.0000000000,82,82,113,0.9938026000,nan
7,-170.3534479429,0.2392784357,0.0000000000,69,69,88,0.9929314000,nan
8,-264.7088248962,0.2392784357,0.0000000000,43,43,63,0.9923077000,nan
9,-262.5808424438,0.2392784357,0.0000000000,88,88,114,0.9911791000,nan
10,-256.1552765218,-0.0141062587,0.0000000000,94,94,126,0.9899317000,2.120335
11,-57.5721328697,-0.3430136442,0.0909090909,51,51,65,0.9892882000,2.219106
12,-174.4131839571,-0.0773221031,0.0833333333,67,67,86,0.9884368000,1.914462
13,-304.3679104689,0.0984421968,0.0769230769,68,68,92,0.9875260000,2.113536
14,-285.8178739311,0.3991754651,0.0714285714,74,74,102,0.9865162000,1.577444
15,-245.4514514552,0.4771430790,0.0666666667,86,86,122,0.9853084000,1.506126
16,-108.6380806921,0.6590551138,0.0625000000,65,65,84,0.9844768000,1.834367
17,-214.1488435305,0.5872335434,0.0588235294,86,86,104,0.9834472000,1.396790
18,-182.9897539343,0.7199113369,0.0555555556,62,62,85,0.9826057000,1.323052
19,-78.7307727035,0.5638804436,0.1052631579,81,81,104,0.9815761000,1.397083
20,-76.4957788882,0.8829499483,0.1000000000,57,57,74,0.9808435000,1.512228
21,-187.8189628083,0.8763673306,0.0952380952,51,51,71,0.9801406000,1.510924
22,-378.9762845649,1.1735295057,0.0909090909,80,80,104,0.9791110000,1.423495
23,-350.9313931281,0.9021624327,0.0869565217,69,69,87,0.9782497000,1.305524
24,-26.1249206260,1.2793486118,0.0833333333,75,75,97,0.9772894000,1.054310
25,-79.3473931666,1.1241852045,0.0800000000,76,76,99,0.9763093000,1.407919
26,-174.0495303702,1.4288303852,0.0769230769,50,50,61,0.9757054000,1.117375
27,-95.2553075526,1.5481160879,0.0740740741,58,58,83,0.9748837000,1.390071
28,-173.9500400193,1.3553982973,0.0714285714,92,92,120,0.9736957000,1.169645
29,-102.6186730354,1.5459765196,0.0689655172,47,47,67,0.9730324000,0.972897
30,-240.4520928044,1.5722998381,0.0666666667,67,67,87,0.9721711000,1.196482
31,-164.4777383179,1.6203426123,0.0645161290,118,118,146,0.9707257000,1.193377
32,-89.8614179944,1.8092935085,0.0625000000,52,52,74,0.9699931000,1.233512
33,-200.8850441958,2.0535008907,0.0606060606,84,84,113,0.9688744000,1.086943
34,-20.8615675691,2.0613224506,0.0588235294,98,98,134,0.9675478000,1.227838
35,-251.5495126681,2.2220714092,0.0571428571,86,86,110,0.9664588000,1.165912
36,-335.8312123822,2.3502826691,0.0555555556,84,84,106,0.9654094000,1.134788
37,-106.6003429007,2.6671195030,0.0540540541,64,64,74,0.9646768000,1.179391
38,-112.4720953040,2.8625535965,0.0526315789,59,59,71,0.9639739000,1.299894
39,-88.7644489178,2.6750962734,0.0512820513,65,65,89,0.9630928000,1.139534
40,-161.5842808128,2.5714449883,0.0500000000,88,88,113,0.9619741000,1.121565
41,-195.9844236321,2.5302238464,0.0487804878,88,88,120,0.9607861000,1.115067
42,-187.7570128911,3.4587597847,0.0476190476,51,51,71,0.9600832000,1.260285
43,-166.0493440904,3.4414725304,0.0465116279,98,98,127,0.9588259000,1.306968
44,-137.5709773908,3.4370291233,0.0454545455,98,98,126,0.9575785000,1.069580
45,-80.0716648148,3.3662405014,0.0444444444,48,48,62,0.9569647000,1.175972
46,-168.1927124971,3.2698757648,0.0434782609,93,93,110,0.9558757000,1.162469
47,-114.5499942329,4.2301607132,0.0425531915,86,86,107,0.9548164000,1.319227
48,-217.0839616389,4.1662569046,0.0416666667,73,73,94,0.9538858000,1.136204
49,-34.1518596321,4.2081465721,0.0408163265,91,91,119,0.9527077000,1.359850
50,-233.1927369628,4.2356014252,0.0400000000,56,56,70,0.9520147000,1.247217
51,28.8655471766,3.8449249268,0.0392156863,94,94,130,0.9507277000,1.252429
52,-271.3247604277,5.0246038437,0.0384615385,83,83,111,0.9496288000,1.514646
53,-162.5629769393,4.9684839249,0.0377358491,97,97,132,0.9483220000,1.252136
54,-84.3898961022,4.7371149063,0.0370370370,52,52,65,0.9476785000,1.245617
55,-196.1858263838,4.8752517700,0.0363636364,65,65,88,0.9468073000,1.228242
56,-341.3336073578,4.9322242737,0.0357142857,85,85,114,0.9456787000,1.161186
57,-164.4879109603,5.9303417206,0.0350877193,47,47,64,0.9450451000,1.687367
58,-116.9003846453,5.6059737206,0.0344827586,95,95,133,0.9437284000,1.253310
59,-79.3038498986,5.7450346947,0.0338983051,40,40,58,0.9431542000,1.391669
60,-126.0671917859,5.9475975037,0.0333333333,77,77,99,0.9421741000,1.305260
61,-299.6004706968,5.9616322517,0.0327868852,53,53,71,0.9414712000,1.438606
62,-133.6198769482,5.7579808235,0.0322580645,56,56,76,0.9407188000,1.329350
63,-186.1988809664,6.7956285477,0.0317460317,82,82,113,0.9396001000,1.323877
64,-130.1729212564,6.7997112274,0.0312500000,101,101,128,0.9383329000,1.441404
65,-423.2346117252,7.0694499016,0.0307692308,76,76,108,0.9372637000,1.366945
66,-91.1833997130,6.6494321823,0.0303030303,59,59,81,0.9364618000,1.127322
67,-105.6348796325,8.8097381592,0.0298507463,69,69,92,0.9355510000,1.242958
68,-95.7807553270,8.1311826706,0.0294117647,87,87,109,0.9344719000,1.609852
69,-106.2097402121,8.1886224747,0.0289855072,65,65,93,0.9335512000,1.446459
70,-122.5729754039,8.1590795517,0.0285714286,74,74,101,0.9325513000,1.382510
71,-93.3597842064,8.0233707428,0.0281690141,107,107,138,0.9311851000,1.441290
72,-127.5190925599,9.8323717117,0.0277777778,77,77,103,0.9301654000,1.613293
73,-127.5611964776,9.6633653641,0.0273972603,45,45,72,0.9294526000,1.455809
74,-81.8098681751,9.6032209396,0.0270270270,61,61,78,0.9286804000,1.429500
75,-47.1048394501,9.6764163971,0.0266666667,61,61,80,0.9278884000,1.476662
76,-118.2651774361,9.3565330505,0.0263157895,77,77,90,0.9269974000,1.550372
77,-107.4863033514,9.3502826691,0.0259740260,64,64,83,0.9261757000,1.701725
78,-136.6701726524,10.4928054810,0.0256410256,68,68,92,0.9252649000,1.688008
79,-37.1515925473,10.5381240845,0.0253164557,57,57,74,0.9245323000,1.706836
80,-96.7547026782,10.6589183807,0.0250000000,68,68,87,0.9236710000,1.462011
81,-79.5994267793,10.8078327179,0.0246913580,55,55,68,0.9229978000,1.640296
82,-116.1389015535,10.5866699219,0.0243902439,111,111,136,0.9216514000,1.422630
83,-126.8965152380,12.0307312012,0.0240963855,81,81,96,0.9207010000,1.646084
84,-227.5508870726,11.8323001862,0.0238095238,59,59,73,0.9199783000,1.706392
85,-112.4204744789,11.6130294800,0.0235294118,69,69,89,0.9190972000,1.448884
86,-131.6973680159,11.8214340210,0.0232558140,70,70,93,0.9181765000,1.679928
87,-289.4347118660,11.7887592316,0.0229885057,81,81,98,0.9172063000,1.430375
88,-223.7215201847,11.4989576340,0.0227272727,48,48,65,0.9165628000,1.395078
89,-94.2229540662,12.1810569763,0.0224719101,55,55,75,0.9158203000,1.606973
90,-149.3573614814,12.7194356918,0.0222222222,52,52,72,0.9151075000,1.489153
91,-202.7080473096,12.5439300537,0.0219780220,75,75,103,0.9140878000,1.410939
92,-213.8090812776,12.7668647766,0.0217391304,75,75,84,0.9132562000,1.626074
93,-228.8259922795,12.5184726715,0.0215053763,99,99,129,0.9119791000,1.504622
94,-74.4430503386,14.7323369980,0.0212765957,83,83,117,0.9108208000,1.445100
95,-98.0486780976,13.7556953430,0.0210526316,94,94,114,0.9096922000,1.537599
96,-266.1011688832,13.3738441467,0.0208333333,103,103,135,0.9083557000,1.551501
97,-53.5871939279,13.8234157562,0.0309278351,93,93,119,0.9071776000,1.438574
98,-74.4937169624,13.6075763702,0.0306122449,57,57,77,0.9064153000,1.508911
99,-75.2812275214,14.5299491882,0.0303030303,61,61,73,0.9056926000,1.825171
100,-152.6571436966,14.8169527054,0.0300000000,90,90,114,0.9045640000,1.534334
101,-70.1313068727,15.1912975311,0.0300000000,50,50,67,0.9039007000,1.581905
102,-67.1189609421,15.1355781555,0.0300000000,92,92,111,0.9028018000,1.797954
103,-157.1863899991,14.9119157791,0.0300000000,85,85,104,0.9017722000,1.535515
104,-43.6205205335,14.5629892349,0.0300000000,52,52,69,0.9010891000,1.657230
105,-194.5191207054,15.3712024689,0.0300000000,91,91,115,0.8999506000,1.561399
106,-176.3198806237,15.7972326279,0.0300000000,98,98,118,0.8987824000,1.472515
107,-103.4371454595,15.4910888672,0.0300000000,51,51,61,0.8981785000,1.533862
108,-57.7276061790,15.3866004944,0.0300000000,87,87,100,0.8971885000,1.625300
109,-308.2056243990,15.7537298203,0.0300000000,92,92,115,0.8960500000,1.445679
110,-324.3566968576,16.6102828979,0.0300000000,79,79,96,0.8950996000,1.843895
111,24.9168609433,16.9378929138,0.0200000000,56,56,72,0.8943868000,1.461619
112,-72.4869306360,16.9698448181,0.0200000000,83,83,112,0.8932780000,1.531529
113,13.3582965351,16.6468296051,0.0200000000,77,77,99,0.8922979000,1.557509
114,-66.0125702357,17.8349666595,0.0200000000,130,130,156,0.8907535000,1.766659
115,-404.9837126411,17.8927116394,0.0200000000,96,96,115,0.8896150000,1.536547
116,-52.1130703339,18.2477741241,0.0300000000,93,93,127,0.8883577000,1.633969
117,-81.1960950875,17.7750377655,0.0300000000,82,82,102,0.8873479000,1.653379
118,-37.3110298973,17.7232131958,0.0300000000,55,55,71,0.8866450000,1.771166
119,-137.3146155134,18.5302104950,0.0200000000,66,66,85,0.8858035000,1.614253
120,-126.7656811686,18.6919784546,0.0200000000,78,78,106,0.8847541000,1.401425
121,-46.2571339683,18.4855880737,0.0200000000,56,56,65,0.8841106000,1.445665
122,-27.0244944797,18.1637191772,0.0200000000,108,108,140,0.8827246000,1.784458
123,-90.1630578876,18.5338363647,0.0200000000,52,52,69,0.8820415000,1.558937
124,-92.7190830545,18.7412300110,0.0200000000,51,51,67,0.8813782000,1.737782
125,-86.1822180453,19.5616130829,0.0200000000,81,81,95,0.8804377000,1.734063
126,-99.0187504171,19.4600334167,0.0200000000,95,95,129,0.8791606000,1.630488
127,-69.6918657746,19.7302131653,0.0200000000,121,121,142,0.8777548000,1.599967
128,-76.9557260370,19.3991203308,0.0200000000,74,74,101,0.8767549000,1.553383
129,-81.7318703989,20.3663387299,0.0200000000,101,101,129,0.8754778000,1.790738
130,-96.6593890814,20.1571121216,0.0300000000,71,71,89,0.8745967000,1.744820
131,-95.8576862219,20.3460922241,0.0300000000,66,66,87,0.8737354000,1.453757
