episode,total_reward,average_q,safe_rate_100,attempted,executed,steps,epsilon,training_loss
1,-147.0614162596,0.2392784357,0.0000000000,50,40,70,0.9993070000,nan
2,-359.3781262676,0.2392784357,0.0000000000,67,61,93,0.9983863000,nan
3,-158.8912212896,0.2392784357,0.0000000000,102,86,122,0.9971785000,nan
4,-141.9774998992,0.2392784357,0.0000000000,67,58,85,0.9963370000,nan
5,-173.7478207023,0.2392784357,0.0000000000,84,72,117,0.9951787000,nan
6,-329.7679992601,0.2392784357,0.0000000000,78,67,104,0.9941491000,nan
7,-327.3271115926,0.2392784357,0.0000000000,57,47,79,0.9933670000,nan
8,-179.7740338844,0.2392784357,0.0000000000,58,47,70,0.9926740000,nan
9,-351.4077837618,0.2392784357,0.0000000000,79,63,108,0.9916048000,nan
10,-298.7833631074,0.2392784357,0.0000000000,90,80,118,0.9904366000,nan
11,-78.4674416538,-0.3598695397,0.0000000000,51,43,68,0.9897634000,2.378366
12,-159.1240213578,-0.5801140070,0.0000000000,58,45,78,0.9889912000,2.183941
13,-116.7944378967,-0.4282888174,0.0000000000,74,67,96,0.9880408000,2.109947
14,-90.1399685802,-0.1488809884,0.0000000000,63,49,84,0.9872092000,1.890186
15,-168.2185149140,0.2324882299,0.0000000000,80,66,115,0.9860707000,1.631696
16,-243.6155713386,0.1950590312,0.0000000000,54,41,74,0.9853381000,1.630903
17,-280.6551980255,0.1404836178,0.0000000000,77,61,99,0.9843580000,1.782376
18,-175.9046949961,0.2987487614,0.0000000000,76,66,92,0.9834472000,1.357518
19,-160.7055833117,0.1835407317,0.0000000000,69,62,93,0.9825265000,1.550764
20,-33.6771265769,0.1175141782,0.0500000000,51,44,68,0.9818533000,1.540087
21,-159.2654652996,0.1400846094,0.0476190476,48,33,64,0.9812197000,1.444286
22,-153.4541392435,0.4647485614,0.0454545455,68,55,87,0.9803584000,1.372086
23,-175.7620925753,0.1670646369,0.0434782609,54,49,68,0.9796852000,1.640241
24,-132.4251084081,0.2514414489,0.0416666667,54,46,75,0.9789427000,1.242995
25,-120.5300342277,0.3709793687,0.0400000000,63,58,78,0.9781705000,1.178728
26,-93.9398070461,0.2658866048,0.0384615385,49,38,65,0.9775270000,1.211328
27,-295.6657789718,0.4301528335,0.0370370370,62,50,76,0.9767746000,1.148219
28,-355.2863891547,0.3867983520,0.0357142857,81,71,105,0.9757351000,1.296328
29,-108.3402833752,0.7474429607,0.0344827586,48,41,63,0.9751114000,2.050307
30,-192.0538105334,0.4502334893,0.0333333333,49,43,74,0.9743788000,1.610327
31,-336.5016615872,1.0135380030,0.0322580645,104,96,137,0.9730225000,1.229883
32,-135.9326060648,0.7732685208,0.0312500000,69,64,89,0.9721414000,1.376396
33,-98.7819252241,0.6345932484,0.0303030303,96,85,123,0.9709237000,1.291586
34,-253.0164873977,0.3962423205,0.0294117647,79,68,103,0.9699040000,1.638038
35,-152.9502218238,0.5127696991,0.0285714286,81,69,113,0.9687853000,1.408279
36,-207.1296840882,0.6614577770,0.0277777778,88,83,120,0.9675973000,1.354004
37,-597.0243403053,0.4959760010,0.0270270270,77,60,98,0.9666271000,1.301109
38,-185.1112552722,0.5014041662,0.0263157895,46,33,58,0.9660529000,1.548023
39,-124.5142583385,1.2339401245,0.0256410256,59,54,76,0.9653005000,1.571273
40,-182.3458494360,0.9603329897,0.0250000000,94,75,113,0.9641818000,1.588046
41,-101.5210460925,0.7073453665,0.0243902439,86,75,114,0.9630532000,1.373784
42,-104.3428520402,0.8001539707,0.0238095238,57,50,75,0.9623107000,1.223945
43,-194.2761510886,0.8853726387,0.0232558140,81,69,109,0.9612316000,1.665583
44,-134.7479538429,0.8120180368,0.0227272727,75,68,104,0.9602020000,1.311982
45,-129.0467592770,0.8697658181,0.0222222222,46,40,62,0.9595882000,1.577818
46,-138.9676301629,0.9821982384,0.0217391304,68,57,83,0.9587665000,1.610268
47,-170.5751438039,0.9038764238,0.0212765957,76,69,96,0.9578161000,1.378401
48,-152.7858432689,1.2105021477,0.0208333333,70,54,92,0.9569053000,1.474257
49,-193.7332088405,1.2135629654,0.0204081633,94,78,112,0.9557965000,1.290625
50,-96.7615922904,1.1136717796,0.0200000000,61,54,74,0.9550639000,1.377693
51,-171.0285769883,1.4345201254,0.0196078431,78,69,102,0.9540541000,1.497369
52,-223.7101358465,0.9753134251,0.0192307692,84,72,113,0.9529354000,1.477513
53,-360.3409131114,1.0266674757,0.0188679245,79,66,96,0.9519850000,1.345634
54,-138.1544989977,1.3261317015,0.0185185185,41,33,58,0.9514108000,1.390091
55,-33.1873636509,1.5734868050,0.0363636364,62,55,83,0.9505891000,1.574210
56,-163.6168870782,1.0414835215,0.0357142857,89,86,118,0.9494209000,1.532085
57,-111.2216317542,1.0047366619,0.0350877193,47,39,65,0.9487774000,1.452840
58,-51.1014502114,1.1797686815,0.0517241379,83,70,111,0.9476785000,1.566933
59,-336.0884603894,1.3687672615,0.0508474576,60,50,79,0.9468964000,1.480893
60,-371.8840188167,1.2787170410,0.0500000000,71,61,99,0.9459163000,1.343086
61,-116.4213101340,1.7458888292,0.0491803279,56,44,71,0.9452134000,1.757143
62,-95.3468761250,1.5968608856,0.0483870968,44,36,65,0.9445699000,1.680483
63,-277.9884507418,1.8603808880,0.0476190476,77,67,108,0.9435007000,1.714475
64,-290.8077466794,1.6342246532,0.0468750000,77,71,97,0.9425404000,1.589762
65,-203.9335650960,1.6822772026,0.0461538462,57,49,82,0.9417286000,1.496282
66,-153.7292989204,1.6555132866,0.0454545455,54,43,73,0.9410059000,1.655809
67,-263.8739669182,2.2992830276,0.0447761194,59,50,86,0.9401545000,1.773135
68,-277.4176427948,1.8855395317,0.0441176471,78,70,97,0.9391942000,1.536151
69,-159.7422975830,1.9968390465,0.0434782609,84,73,108,0.9381250000,1.571837
70,-302.0947758220,1.9624043703,0.0428571429,70,63,99,0.9371449000,1.592491
71,-21.4052061110,2.1915812492,0.0422535211,73,66,103,0.9361252000,1.558594
72,-46.5256103522,2.4064321518,0.0555555556,75,59,102,0.9351154000,1.847060
73,-213.6669595991,2.6792302132,0.0547945205,69,60,82,0.9343036000,1.756783
74,-102.1855616942,2.1952998638,0.0540540541,42,34,64,0.9336700000,1.832223
75,-110.5262850148,2.3572113514,0.0533333333,51,44,65,0.9330265000,1.860790
76,-162.9947574529,2.5755276680,0.0526315789,61,49,87,0.9321652000,1.976125
77,-188.4202063895,2.6154093742,0.0519480519,71,57,87,0.9313039000,1.537485
78,-128.2571553197,3.2012424469,0.0512820513,62,56,83,0.9304822000,1.933873
79,-96.9930115284,3.0760564804,0.0506329114,46,39,65,0.9298387000,2.002488
80,-119.1659927823,3.0440909863,0.0500000000,49,41,72,0.9291259000,1.687444
81,-85.5281326744,2.8750443459,0.0493827160,51,40,62,0.9285121000,1.919448
82,-112.7269525973,3.1832985878,0.0487804878,97,76,125,0.9272746000,1.910466
83,-163.6987467158,3.1337249279,0.0481927711,55,48,71,0.9265717000,1.714962
84,4.1238335217,2.9513702393,0.0476190476,61,52,78,0.9257995000,1.964801
85,-93.7213006484,3.6073546410,0.0470588235,63,51,86,0.9249481000,2.072651
86,-138.9965561903,3.4370570183,0.0465116279,57,48,77,0.9241858000,1.913164
87,-167.1373113982,3.5843558311,0.0459770115,81,64,99,0.9232057000,2.073997
88,-115.0405103635,3.4753568172,0.0454545455,59,53,65,0.9225622000,1.993013
89,-113.0946289923,4.1040287018,0.0449438202,48,42,62,0.9219484000,2.352776
90,-312.9051087191,3.6861908436,0.0444444444,60,50,75,0.9212059000,1.715807
91,-293.9021558834,3.7901644707,0.0439560440,75,65,95,0.9202654000,1.961326
92,-133.2697240440,4.1862077713,0.0434782609,64,57,79,0.9194833000,1.755656
93,-113.8577411914,4.4202289581,0.0430107527,69,61,89,0.9186022000,2.478885
94,-68.2026613982,3.8670649529,0.0425531915,91,82,112,0.9174934000,2.078659
95,-131.1587768102,3.9965727329,0.0421052632,83,75,109,0.9164143000,1.932215
96,-129.8434861451,5.2181243896,0.0416666667,88,80,121,0.9152164000,2.351376
97,-98.3132928038,4.5846042633,0.0412371134,68,59,98,0.9142462000,1.944437
