episode,total_reward,average_q,safe_rate_100,attempted,executed,steps,epsilon,training_loss
1,-132.7921886470,0.2392784357,0.0000000000,51,51,71,0.9992971000,nan
2,-436.5690938311,0.2392784357,0.0000000000,66,66,93,0.9983764000,nan
3,-112.5790643487,0.2392784357,0.0000000000,104,104,124,0.9971488000,nan
4,-74.4486894426,0.2392784357,0.0000000000,67,67,86,0.9962974000,nan
5,-141.5601234917,0.2392784357,0.0000000000,104,104,139,0.9949213000,nan
6,-168.3720597169,0.2392784357,0.0000000000,82,82,113,0.9938026000,nan
7,-170.3534479429,0.2392784357,0.0000000000,69,69,88,0.9929314000,nan
8,-264.7088248962,0.2392784357,0.0000000000,43,43,63,0.9923077000,nan
9,-262.5808424438,0.2392784357,0.0000000000,88,88,114,0.9911791000,nan
10,-256.1552765218,-0.0122293439,0.0000000000,94,94,126,0.9899317000,2.111354
11,-57.5721328697,-0.1800187826,0.0909090909,51,51,65,0.9892882000,2.197836
12,-174.4131839571,0.1684430391,0.0833333333,67,67,86,0.9884368000,1.900430
13,-304.3679104689,0.3821303546,0.0769230769,68,68,92,0.9875260000,2.101976
14,-285.8178739311,0.6884204745,0.0714285714,74,74,102,0.9865162000,1.573831
15,-245.4514514552,0.7459400892,0.0666666667,86,86,122,0.9853084000,1.507664
16,-108.6380806921,0.9206465483,0.0625000000,65,65,84,0.9844768000,1.839810
17,-214.1488435305,0.8985264897,0.0588235294,86,86,104,0.9834472000,1.404884
18,-182.9897539343,0.9656282067,0.0555555556,62,62,85,0.9826057000,1.330281
19,-78.7307727035,0.8233494759,0.1052631579,81,81,104,0.9815761000,1.395608
20,-76.4957788882,1.1878571510,0.1000000000,57,57,74,0.9808435000,1.516414
21,-187.8189628083,1.1281769276,0.0952380952,51,51,71,0.9801406000,1.515786
22,-378.9762845649,1.4526091814,0.0909090909,80,80,104,0.9791110000,1.434591
23,-350.9313931281,1.1883299351,0.0869565217,69,69,87,0.9782497000,1.317473
24,-26.1249206260,1.5138427019,0.0833333333,75,75,97,0.9772894000,1.059367
25,-79.3473931666,1.3671251535,0.0800000000,76,76,99,0.9763093000,1.418375
26,-174.0495303702,1.7051751614,0.0769230769,50,50,61,0.9757054000,1.130719
27,-95.2553075526,1.7505667210,0.0740740741,58,58,83,0.9748837000,1.399712
28,-173.9500400193,1.6138125658,0.0714285714,92,92,120,0.9736957000,1.178418
29,-102.6186730354,1.7483603954,0.0689655172,47,47,67,0.9730324000,0.985096
30,-240.4520928044,1.8344547749,0.0666666667,67,67,87,0.9721711000,1.205984
31,-164.4777383179,1.8555464745,0.0645161290,118,118,146,0.9707257000,1.207793
32,-89.8614179944,2.0576157570,0.0625000000,52,52,74,0.9699931000,1.239478
33,-200.8850441958,2.3706192970,0.0606060606,84,84,113,0.9688744000,1.086603
34,-20.8615675691,2.3632941246,0.0588235294,98,98,134,0.9675478000,1.228904
35,-251.5495126681,2.4866294861,0.0571428571,86,86,110,0.9664588000,1.167238
36,-335.8312123822,2.6617114544,0.0555555556,84,84,106,0.9654094000,1.139542
37,-106.6003429007,2.8684382439,0.0540540541,64,64,74,0.9646768000,1.179119
38,-112.4720953040,3.0949952602,0.0526315789,59,59,71,0.9639739000,1.299323
39,-88.7644489178,2.8873064518,0.0512820513,65,65,89,0.9630928000,1.138951
40,-161.5842808128,2.7880144119,0.0500000000,88,88,113,0.9619741000,1.123193
41,-195.9844236321,2.8496711254,0.0487804878,88,88,120,0.9607861000,1.115919
42,-187.7570128911,3.7239551544,0.0476190476,51,51,71,0.9600832000,1.253932
43,-239.0392540564,3.6726953983,0.0465116279,93,93,121,0.9588853000,1.294743
44,-103.1943982117,3.3348979950,0.0454545455,95,95,123,0.9576676000,1.101671
45,-92.1278453324,4.0015034676,0.0444444444,47,47,62,0.9570538000,1.253441
46,-234.3540078445,3.6678843498,0.0434782609,93,93,109,0.9559747000,1.171772
47,-117.7580330175,4.7136192322,0.0425531915,83,83,102,0.9549649000,1.327842
48,-208.4955778907,4.3687477112,0.0416666667,72,72,93,0.9540442000,1.232274
49,-133.2291885675,4.4860277176,0.0408163265,84,84,113,0.9529255000,1.210450
50,-287.2058664519,4.5042395592,0.0400000000,53,53,67,0.9522622000,1.417502
51,-16.4509192029,4.3116006851,0.0392156863,84,84,114,0.9511336000,1.245028
52,-71.9065964968,5.3988142014,0.0384615385,107,107,143,0.9497179000,1.329888
53,-163.4017786414,5.0260901451,0.0377358491,91,91,118,0.9485497000,1.228288
54,-105.8966427872,5.1653575897,0.0370370370,45,45,63,0.9479260000,1.079115
55,-81.1342671141,5.3112444878,0.0363636364,63,63,84,0.9470944000,1.186178
56,-483.1110877916,5.2156209946,0.0357142857,95,95,128,0.9458272000,1.180866
57,11.3319489551,6.1892099380,0.0350877193,62,62,83,0.9450055000,1.452056
58,-98.1018243070,6.0205278397,0.0344827586,95,95,133,0.9436888000,1.216991
59,-66.8358812337,6.0133714676,0.0338983051,41,41,59,0.9431047000,1.334488
60,-108.2575584792,5.9396595955,0.0333333333,85,85,110,0.9420157000,1.317638
61,-212.7982279096,6.1865797043,0.0327868852,54,54,73,0.9412930000,1.312369
62,-124.1879463676,7.8980474472,0.0322580645,56,56,77,0.9405307000,1.325598
63,-245.8795772498,6.9998607635,0.0317460317,105,105,138,0.9391645000,1.350404
64,-204.3176797291,6.8473324776,0.0312500000,85,85,109,0.9380854000,1.379324
65,-208.5545726010,7.0690851212,0.0307692308,69,69,99,0.9371053000,1.309410
66,-122.9795286539,6.9746580124,0.0303030303,56,56,78,0.9363331000,1.123987
67,-111.9231905688,8.4292459488,0.0298507463,65,65,87,0.9354718000,1.279522
68,-215.8640910709,7.9525623322,0.0294117647,82,82,102,0.9344620000,1.667938
69,-108.4876734795,7.9750237465,0.0289855072,64,64,90,0.9335710000,1.294002
70,-140.1501437794,8.3047494888,0.0285714286,78,78,106,0.9325216000,1.422064
71,-98.1674048506,7.9669771194,0.0281690141,101,101,132,0.9312148000,1.435579
72,20.0543572554,9.0662384033,0.0277777778,104,104,145,0.9297793000,1.454593
73,-88.9337850860,9.3129100800,0.0273972603,51,51,72,0.9290665000,1.419533
74,-138.7593311915,9.0528526306,0.0270270270,55,55,69,0.9283834000,1.328961
75,-70.5061066940,9.0814409256,0.0266666667,62,62,78,0.9276112000,1.352209
76,-215.3689986562,8.8594799042,0.0263157895,70,70,87,0.9267499000,1.441207
77,-83.0743532991,8.9996051788,0.0259740260,69,69,89,0.9258688000,1.502981
78,-107.7063754602,10.4727945328,0.0256410256,66,66,86,0.9250174000,1.541481
79,-105.4316269844,10.1506452560,0.0253164557,43,43,60,0.9244234000,1.642682
80,-93.1477284782,10.1629199982,0.0250000000,66,66,82,0.9236116000,1.241167
81,-53.5358145987,10.3676548004,0.0246913580,56,56,69,0.9229285000,1.419300
82,-119.1498930894,10.3565025330,0.0243902439,108,108,132,0.9216217000,1.413143
83,-119.0582378872,11.7422924042,0.0240963855,85,85,101,0.9206218000,1.517266
84,-244.7564589723,11.2465305328,0.0238095238,54,54,71,0.9199189000,1.601497
85,-114.4894776382,11.4167890549,0.0235294118,73,73,93,0.9189982000,1.296057
86,-73.9257065815,11.3813543320,0.0232558140,86,86,105,0.9179587000,1.425455
87,-122.6840109495,11.2254600525,0.0229885057,79,79,107,0.9168994000,1.469567
88,-366.0489332407,11.6879301071,0.0227272727,80,80,102,0.9158896000,1.549518
89,-79.2158325987,12.4723415375,0.0224719101,49,49,65,0.9152461000,1.514544
90,-137.9508998127,12.3123254776,0.0222222222,50,50,75,0.9145036000,1.328946
91,-111.6118990422,12.2655410767,0.0219780220,87,87,103,0.9134839000,1.298701
92,-288.0114671608,12.4339256287,0.0217391304,67,67,86,0.9126325000,1.636529
93,-115.0374936378,12.4356126785,0.0215053763,78,78,98,0.9116623000,1.522967
94,-77.7377682947,13.9231147766,0.0212765957,100,100,134,0.9103357000,1.486537
95,-71.3455544454,13.7269687653,0.0210526316,110,110,139,0.9089596000,1.618968
96,-81.4144228813,13.6977863312,0.0208333333,89,89,115,0.9078211000,1.404128
97,-66.3655382921,13.9170970917,0.0206185567,85,85,114,0.9066925000,1.474638
98,-108.4347633289,13.6251440048,0.0204081633,56,56,68,0.9060193000,1.487921
99,-135.5374216427,14.9878625870,0.0202020202,48,48,63,0.9053956000,1.619277
100,-116.0856055615,14.7951297760,0.0200000000,96,96,123,0.9041779000,1.370284
101,-47.0722813325,15.0732088089,0.0200000000,54,54,69,0.9034948000,1.577216
102,-97.1359424640,14.5031232834,0.0200000000,66,66,79,0.9027127000,1.288804
103,-359.7146958273,14.7170696259,0.0200000000,98,98,118,0.9015445000,1.437954
104,-59.0147931890,16.2055168152,0.0200000000,58,58,75,0.9008020000,1.700163
105,-201.6361983167,16.2188873291,0.0200000000,89,89,116,0.8996536000,1.490932
106,-232.6956979482,16.1608810425,0.0200000000,98,98,119,0.8984755000,1.324214
107,-51.8131708805,16.3800239563,0.0200000000,58,58,67,0.8978122000,1.428422
108,-224.1726322287,16.1646480560,0.0200000000,64,64,73,0.8970895000,1.473464
109,-192.1562937950,16.8167610168,0.0200000000,97,97,122,0.8958817000,1.578725
110,-340.3786624015,16.8455924988,0.0200000000,73,73,88,0.8950105000,1.880671
111,-148.5093757547,16.8507137299,0.0100000000,55,55,71,0.8943076000,1.578203
112,-61.0787968502,16.9338150024,0.0200000000,91,91,121,0.8931097000,1.489684
113,-265.6773465243,16.7623863220,0.0200000000,78,78,97,0.8921494000,1.575589
114,-144.6892691265,18.0649204254,0.0200000000,131,131,155,0.8906149000,1.627576
115,-153.8615002985,17.7360248566,0.0200000000,83,83,103,0.8895952000,1.487052
116,-59.5568543125,18.4046688080,0.0200000000,79,79,114,0.8884666000,1.758846
117,-85.3594039701,17.7724971771,0.0200000000,74,74,93,0.8875459000,1.488655
118,-52.7882309372,18.4204711914,0.0200000000,67,67,82,0.8867341000,1.398832
119,-99.2491808159,19.1002464294,0.0100000000,72,72,93,0.8858134000,1.440740
120,-117.8862772915,19.5646209717,0.0100000000,75,75,102,0.8848036000,1.521538
121,-75.0281612374,19.3791790009,0.0100000000,57,57,67,0.8841403000,1.195997
122,-13.1989335419,19.6919536591,0.0100000000,116,116,147,0.8826850000,1.575629
123,-100.3602734630,19.6894016266,0.0100000000,47,47,64,0.8820514000,1.611541
124,-98.7964455256,19.6285953522,0.0100000000,51,51,67,0.8813881000,1.786981
125,-81.8013670129,20.3465290070,0.0100000000,81,81,95,0.8804476000,1.530408
126,-75.2216033895,20.0927429199,0.0200000000,92,92,124,0.8792200000,1.613012
127,-70.4448152634,20.3007926941,0.0200000000,102,102,119,0.8780419000,1.569762
128,-89.5700795377,19.9079589844,0.0200000000,81,81,108,0.8769727000,1.465846
129,-85.7455272227,20.6911296844,0.0200000000,84,84,111,0.8758738000,1.558024
130,-72.3206718588,20.8704090118,0.0300000000,78,78,97,0.8749135000,1.826849
131,-146.7124351868,20.6061058044,0.0300000000,71,71,87,0.8740522000,1.722103
